store_desc,store_desc1,address,coor_x,coor_y
深圳市宝安区海底捞火锅(石岩星城店),深圳市宝安区海底捞火锅(石岩星城店),广东省深圳市宝安区石岩街道官田社区宝石东路209号星城购物中心F4,113.954965,22.685583
上海市杨浦区海底捞火锅(紫荆广场店),上海市杨浦区海底捞火锅(紫荆广场店),上海市杨浦区控江路1628号紫荆广场F7,121.523264,31.280863
上海市杨浦区海底捞火锅(五角场万达店),上海市杨浦区海底捞火锅(五角场万达店),上海市杨浦区淞沪路77号万达广场B1,121.519507,31.307587
上海市杨浦区海底捞火锅(民星路店),上海市杨浦区海底捞火锅(民星路店),上海市杨浦区民星路378号太平洋生活广场1楼,121.546049,31.318395
上海市浦东新区海底捞火锅(森兰商都店),上海市浦东新区海底捞火锅(森兰商都店),上海市浦东新区启帆路628号森兰商都四层404号商铺,121.598353,31.318289
上海市奉贤区海底捞火锅(南奉公路店),上海市奉贤区海底捞火锅(南奉公路店),上海市奉贤区南奉公路7500号苏宁广场六楼,121.495246,30.924131
上海市金山区海底捞火锅(金山百联店),上海市金山区海底捞火锅(金山百联店),上海市金山区卫清西路188号百联金山购物中心F1,121.353812,30.738987
上海市青浦区海底捞火锅(青浦宝龙店),上海市青浦区海底捞火锅(青浦宝龙店),上海市青浦区盈港东路7808/7826号宝龙广场2期4F层M-4F-005/006商铺,121.159853,31.168225
上海市浦东新区海底捞火锅(茉莉路店),上海市浦东新区海底捞火锅(茉莉路店),上海市浦东新区高科东路515弄恒生万鹂广场2号楼4层,121.659263,31.217619
上海市浦东新区海底捞火锅(临港宝龙广场店),上海市浦东新区海底捞火锅(临港宝龙广场店),上海市浦东新区鸿音路3155弄128号临港宝龙广场F3,121.822839,30.913189
上海市嘉定区海底捞火锅(三德广场店),上海市嘉定区海底捞火锅(三德广场店),上海市嘉定区墨玉南路1080号曼度泛乐城F4,121.170434,31.293519
上海市虹口区海底捞火锅(大柏树店),上海市虹口区海底捞火锅(大柏树店),上海市虹口区中山北一路1230号1幢A202室、A204室(提供停车3小时),121.495009,31.296588
上海市静安区海底捞火锅(静安大融城店),上海市静安区海底捞火锅(静安大融城店),上海市静安区沪太路1111弄静安大融城F3,121.435799,31.286545
上海市虹口区海底捞火锅(逸仙路店),上海市虹口区海底捞火锅(逸仙路店),上海市虹口区逸仙路580号华联吉买盛4楼,121.491118,31.30964
上海市静安区海底捞火锅(场中路店),上海市静安区海底捞火锅(场中路店),上海市静安区场中路2018号中建瑞贝庭3楼,121.458471,31.311419
上海市宝山区海底捞火锅(宝山万达店),上海市宝山区海底捞火锅(宝山万达店),上海市宝山区一二八纪念路968号万达广场B1,121.454633,31.330181
上海市宝山区海底捞火锅(宝山经纬汇店),上海市宝山区海底捞火锅(宝山经纬汇店),上海市宝山区经地路99弄经纬汇5号楼4层401,121.405261,31.329838
上海市宝山区海底捞火锅(正大乐城店),上海市宝山区海底捞火锅(正大乐城店),上海市宝山区陆翔路111号(7号线顾村公园站2号口)绿地·公园广场B2正大乐城F2,121.377944,31.350426
上海市嘉定区海底捞火锅(南翔太茂广场店),上海市嘉定区海底捞火锅(南翔太茂广场店),上海市嘉定区丰翔路3168号南翔太茂商业广场F3,121.331108,31.305504
上海市宝山区海底捞火锅(宝杨宝龙广场店),上海市宝山区海底捞火锅(宝杨宝龙广场店),宝山区同济路669号宝杨宝龙广场F3,121.487702,31.401312
上海市嘉定区海底捞火锅(中信泰富万达广场店),上海市嘉定区海底捞火锅(中信泰富万达广场店),上海市嘉定区胜辛路426号中信泰富万达广场F5,121.26149,31.337055
